poca,Sample ID,person_who_analised,method,survey,TOC_mg_L,TC_mg_L,IC_mg_L,TN_mg_L,Date_time_analysis,P_ug_L,TP_ug_L,absorbancia,treatment,isolation
A1,11.01.18_a1,ricardo_taniwaki,,3,6.087,6.488,0.4003,3.83,17/12/2020 08:49,117.7,,,cerrado,30
A2,11.01.18_a2,ricardo_taniwaki,,3,3.309,3.441,0.1325,3.899,17/12/2020 09:00,97.2,,,pasto,30
A3,11.01.18_a3,ricardo_taniwaki,,3,3.232,3.421,0.1888,4.662,17/12/2020 09:11,268.5,,,cana,30
A4,11.01.18_a4,ricardo_taniwaki,,3,3.581,3.681,0.09936,4,17/12/2020 09:20,100.6,,,cerrado,30
A5,11.01.18_a5,ricardo_taniwaki,,3,3.577,3.723,0.1457,5.238,17/12/2020 09:32,157.2,,,pasto,30
A6,11.01.18_a6,ricardo_taniwaki,,3,3.206,3.326,0.1195,4.535,17/12/2020 09:45,188,,,cana,30
A7,11.01.18_a7,ricardo_taniwaki,,3,3.144,3.27,0.1262,3.264,17/12/2020 09:54,80,,,cerrado,30
A8,11.01.18_a8,ricardo_taniwaki,,3,3.126,3.297,0.1713,3.134,17/12/2020 10:04,131.4,,,pasto,30
A9,11.01.18_a9,ricardo_taniwaki,,3,3.074,3.262,0.1873,5.278,17/12/2020 10:16,150.3,,,cana,30
A10,11.01.18_a10,ricardo_taniwaki,,3,3.33,3.481,0.1513,4.022,17/12/2020 10:26,86.9,,,cerrado,30
A11,11.01.18_a11,ricardo_taniwaki,,3,2.959,3.066,0.1069,3.796,17/12/2020 10:35,102.3,,,pasto,30
A12,11.01.18_a12,ricardo_taniwaki,,3,2.828,2.969,0.141,4.734,17/12/2020 10:46,157.2,,,cana,30
A13,11.01.18_a13,ricardo_taniwaki,,3,2.986,3.095,0.1091,4.142,17/12/2020 10:58,150.3,,,cerrado,30
A14,11.01.18_a14,ricardo_taniwaki,,3,3.236,3.359,0.1234,4.864,17/12/2020 11:10,198.3,,,pasto,30
A15,11.01.18_a15,ricardo_taniwaki,,3,3.097,3.29,0.1932,5.446,17/12/2020 11:22,165.7,,,cana,30
B1,11.01.18_b1,ricardo_taniwaki,,3,4.227,5.916,1.689,3.226,17/12/2020 11:39,49.2,,,cerrado,30
B2,11.01.18_b2,ricardo_taniwaki,,3,3.019,3.242,0.2223,4.027,17/12/2020 11:49,141.7,,,pasto,120
B3,11.01.18_b3,ricardo_taniwaki,,3,2.736,2.898,0.1624,6.067,17/12/2020 12:03,155.4,,,cana,120
B4,11.01.18_b4,ricardo_taniwaki,,3,3.23,3.328,0.09794,4.247,17/12/2020 13:57,150.3,,,cerrado,120
B5,11.01.18_b5,ricardo_taniwaki,,3,2.981,3.084,0.103,4.01,17/12/2020 14:07,93.7,,,pasto,120
B6,11.01.18_b6,ricardo_taniwaki,,3,3.469,3.592,0.1233,8.996,17/12/2020 14:51,373.1,,,cana,120
B7,11.01.18_b7,ricardo_taniwaki,,3,2.94,3.033,0.093,4.353,17/12/2020 14:20,90.3,,,cerrado,120
B8,11.01.18_b8,ricardo_taniwaki,,3,3.297,3.41,0.1135,3.89,17/12/2020 14:29,121.2,,,pasto,120
B9,11.01.18_b9,ricardo_taniwaki,,3,3.023,3.164,0.141,4.125,17/12/2020 14:40,117.7,,,cana,120
B10,11.01.18_b10,ricardo_taniwaki,,3,4.181,5.647,1.466,3.943,18/12/2020 09:17,81.7,,,cerrado,120
B11,11.01.18_b11,ricardo_taniwaki,,3,3.15,3.357,0.2065,4.931,18/12/2020 09:27,162.3,,,pasto,120
B12,11.01.18_b12,ricardo_taniwaki,,3,2.166,2.313,0.147,4.59,18/12/2020 09:39,129.7,,,cana,120
B13,11.01.18_b13,ricardo_taniwaki,,3,2.417,2.554,0.1369,4.391,18/12/2020 09:56,74.9,,,cerrado,120
B14,11.01.18_b14,ricardo_taniwaki,,3,2.595,2.734,0.1384,4.585,18/12/2020 10:08,126.3,,,pasto,120
B15,11.01.18_b15,ricardo_taniwaki,,3,2.444,2.614,0.1697,5.775,18/12/2020 10:19,153.7,,,cana,120
C1,11.01.18_c1,ricardo_taniwaki,,3,2.501,2.685,0.1836,5.669,18/12/2020 10:29,134.9,,,cerrado,480
C2,11.01.18_c2,ricardo_taniwaki,,3,2.992,3.128,0.1362,7.35,18/12/2020 10:40,167.4,,,pasto,480
C3,11.01.18_c3,ricardo_taniwaki,,3,4.472,4.607,0.1354,5.832,18/12/2020 10:52,155.4,,,cana,480
C4,11.01.18_c4,ricardo_taniwaki,,3,3.504,3.652,0.1481,4.043,18/12/2020 11:03,81.7,,,cerrado,480
C5,11.01.18_c5,ricardo_taniwaki,,3,4.402,5.226,0.8235,3.569,18/12/2020 11:13,88.6,,,pasto,480
C6,11.01.18_c6,ricardo_taniwaki,,3,2.927,3.093,0.1665,13.12,18/12/2020 11:24,270.3,,,cana,480
C7,11.01.18_c7,ricardo_taniwaki,,3,2.28,2.415,0.1342,5.123,18/12/2020 11:35,74.9,,,cerrado,480
C8,11.01.18_c8,ricardo_taniwaki,,3,2.492,2.596,0.1049,4.187,18/12/2020 11:47,117.7,,,pasto,480
C9,11.01.18_c9,ricardo_taniwaki,,3,2.745,2.862,0.1176,11.29,18/12/2020 12:00,359.4,,,cana,480
C10,11.01.18_c10,ricardo_taniwaki,,3,2.786,2.922,0.1358,5.058,18/12/2020 13:52,86.9,,,cerrado,480
C11,11.01.18_c11,ricardo_taniwaki,,3,2.608,2.705,0.09694,4.585,18/12/2020 14:04,49.2,,,pasto,480
C12,11.01.18_c12,ricardo_taniwaki,,3,3.09,3.191,0.1009,5.166,18/12/2020 14:16,121.2,,,cana,480
C13,11.01.18_c13,ricardo_taniwaki,,3,3.33,3.497,0.1667,10.46,18/12/2020 14:27,294.2,,,cerrado,480
C14,11.01.18_c14,ricardo_taniwaki,,3,2.918,3.095,0.1773,4.055,18/12/2020 14:38,74.9,,,pasto,480
C15,11.01.18_c15,ricardo_taniwaki,,3,2.825,2.92,0.09474,3.878,18/12/2020 14:48,68,,,cana,480
A1,23,bianca_valente,,4,,,,,16/04/2019,,103.39,0.051,cerrado,30
A2,22,bianca_valente,,4,,,,,16/04/2019,,70.548,0.034,pasto,30
A3,21,bianca_valente,,4,,,,,16/04/2019,,164.33,0.082,cana,30
A4,20,bianca_valente,,4,,,,,16/04/2019,,107.49,0.053,cerrado,30
A5,19,bianca_valente,,4,,,,,16/04/2019,,117.22,0.058,pasto,30
A6,18,bianca_valente,,4,,,,,16/04/2019,,64.555,0.031,cana,30
A7,17,bianca_valente,,4,,,,,16/04/2019,,46.813,0.021,cerrado,30
A8,16,bianca_valente,,4,,,,,16/04/2019,,81.882,0.039,pasto,30
A9,15,bianca_valente,,4,,,,,16/04/2019,,154.75,0.077,cana,30
A10,14,bianca_valente,,4,,,,,16/04/2019,,113.12,0.056,cerrado,30
A11,13,bianca_valente,,4,,,,,16/04/2019,,129.35,0.064,pasto,30
A12,12,bianca_valente,,4,,,,,16/04/2019,,67.107,0.032,cana,30
A13,11,bianca_valente,,4,,,,,16/04/2019,,60.401,0.028,cerrado,30
A14,10,bianca_valente,,4,,,,,16/04/2019,,168.07,0.084,pasto,30
A15,9,bianca_valente,,4,,,,,16/04/2019,,195.37,0.098,cana,30
B1,8,bianca_valente,,4,,,,,16/04/2019,,135.64,0.067,cerrado,30
B2,7,bianca_valente,,4,,,,,16/04/2019,,151.96,0.075,pasto,120
B3,6,bianca_valente,,4,,,,,16/04/2019,,115.74,0.057,cana,120
B4,5,bianca_valente,,4,,,,,16/04/2019,,163.83,0.082,cerrado,120
B5,4,bianca_valente,,4,,,,,16/04/2019,,98.112,0.048,pasto,120
B6,3,bianca_valente,,4,,,,,16/04/2019,,227.71,0.114,cana,120
B7,2,bianca_valente,,4,,,,,16/04/2019,,54.408,0.025,cerrado,120
B8,22,bianca_valente,,4,,,,,16/04/2019,,162.44,0.081,pasto,120
B9,21,bianca_valente,,4,,,,,16/04/2019,,120.66,0.059,cana,120
B10,20,bianca_valente,,4,,,,,16/04/2019,,148.61,0.074,cerrado,120
B11,19,bianca_valente,,4,,,,,16/04/2019,,128.55,0.063,pasto,120
B12,18,bianca_valente,,4,,,,,16/04/2019,,426.91,0.217,cana,120
B13,17,bianca_valente,,4,,,,,16/04/2019,,81.14,0.039,cerrado,120
B14,16,bianca_valente,,4,,,,,16/04/2019,,85.71,0.041,pasto,120
B15,15,bianca_valente,,4,,,,,16/04/2019,,103.3,0.05,cana,120
C1,1,bianca_valente,,4,,,,,16/04/2019,,102.8,0.05,cerrado,480
C2,2,bianca_valente,,4,,,,,16/04/2019,,175.55,0.088,pasto,480
C3,3,bianca_valente,,4,,,,,16/04/2019,,76.215,0.037,cana,480
C4,4,bianca_valente,,4,,,,,16/04/2019,,93.157,0.045,cerrado,480
C5,5,bianca_valente,,4,,,,,16/04/2019,,76.72,0.037,pasto,480
C6,6,bianca_valente,,4,,,,,16/04/2019,,127.51,0.063,cana,480
C7,7,bianca_valente,,4,,,,,16/04/2019,,52.153,0.024,cerrado,480
C8,8,bianca_valente,,4,,,,,16/04/2019,,84.345,0.041,pasto,480
C9,,,,,,,,,,,,,cana,480
C10,9,bianca_valente,,4,,,,,16/04/2019,,101.82,0.05,cerrado,480
C11,10,bianca_valente,,4,,,,,16/04/2019,,134.34,0.066,pasto,480
C12,11,bianca_valente,,4,,,,,16/04/2019,,313.43,0.159,cana,480
C13,12,bianca_valente,,4,,,,,16/04/2019,,143.03,0.071,cerrado,480
C14,13,bianca_valente,,4,,,,,16/04/2019,,128.91,0.064,pasto,480
C15,14,bianca_valente,,4,,,,,16/04/2019,,101.4,0.049,cana,480
